Nr;Data i czas;PRZEWODNOSC N1 [uS/cm] (13);TEMPERATURA [°C] (14);PRZEWODNOSC N2 [uS/cm] (15);PRZEWODNOSC N3 [uS/cm] (16)
1044;2023-06-12 14:33:41,0;183,1928;109,125;185,6893;197,8452
1045;2023-06-12 14:33:41,6;183,2061;109,1875;186,1001;197,5689
1046;2023-06-12 14:33:42,1;183,5282;109,1313;184,5066;197,2671
1047;2023-06-12 14:33:42,6;183,43;109,1313;183,598;196,8294
1048;2023-06-12 14:33:43,1;183,4408;109,2;183,3085;197,984
1049;2023-06-12 14:33:43,6;183,4374;109,1437;183,7641;199,2916
1050;2023-06-12 14:33:44,1;183,4188;109,125;184,8459;199,4497
1051;2023-06-12 14:33:44,6;183,0148;109,1938;184,5848;198,8021
1052;2023-06-12 14:33:45,1;182,9113;109,1687;185,8455;198,3858
1053;2023-06-12 14:33:45,6;183,033;109,1187;185,621;200,1944
1054;2023-06-12 14:33:46,1;182,6728;109,1;184,5299;202,3815
1055;2023-06-12 14:33:46,6;182,929;109,1687;183,3595;210,7906
1056;2023-06-12 14:33:47,1;183,3191;109,1812;185,9918;241,2014
1057;2023-06-12 14:33:47,6;184,4509;109,125;187,1495;264,757
1058;2023-06-12 14:33:48,1;188,5231;109,1375;204,2999;303,0227
1059;2023-06-12 14:33:48,6;192,0777;109,2125;239,451;345,1466
1060;2023-06-12 14:33:49,1;206,7244;109,1625;266,7648;371,2323
1061;2023-06-12 14:33:49,6;225,2274;109,1187;308,6978;364,6599
1062;2023-06-12 14:33:50,1;241,3079;109,175;346,0148;359,3446
1063;2023-06-12 14:33:50,6;258,0335;109,1938;375,0633;356,2057
1064;2023-06-12 14:33:51,1;271,0866;109,1313;399,0355;354,5318
1065;2023-06-12 14:33:51,6;278,5957;109,1437;417,2926;353,0648
1066;2023-06-12 14:33:52,1;283,1294;109,1;417,4074;360,1765
1067;2023-06-12 14:33:52,6;286,1779;109,1812;412,7584;365,8221
1068;2023-06-12 14:33:53,1;282,0487;109,1875;409,0527;372,6344
1069;2023-06-12 14:33:53,6;278,6752;109,1375;401,7579;379,6055
1070;2023-06-12 14:33:54,1;275,8385;109,1187;395,9779;385,4872
1071;2023-06-12 14:33:54,6;273,7239;109,1938;390,376;387,072
1072;2023-06-12 14:33:55,1;272,0476;109,1938;385,5142;388,198
1073;2023-06-12 14:33:55,6;273,3677;109,1313;382,5269;389,3524
1074;2023-06-12 14:33:56,1;275,1185;109,1063;376,4886;390,0213
1075;2023-06-12 14:33:56,6;277,6204;109,1938;372,4127;390,489
1076;2023-06-12 14:33:57,1;281,8852;109,1812;368,123;386,2899
1077;2023-06-12 14:33:57,6;285,3081;109,1875;364,5046;381,7287
1078;2023-06-12 14:33:58,1;290,4381;109,125;361,4772;377,945
1079;2023-06-12 14:33:58,6;294,5015;109,1125;358,737;373,9707
1080;2023-06-12 14:33:59,1;297,7348;109,1938;357,4761;371,3521
1081;2023-06-12 14:33:59,6;298,8707;109,1812;355,6307;365,4412
1082;2023-06-12 14:34:00,1;299,5105;109,1187;354,8516;360,0809
1083;2023-06-12 14:34:00,6;299,5663;109,1375;354,2835;355,7539
1084;2023-06-12 14:34:01,1;299,3976;109,2062;352,3883;349,554
1085;2023-06-12 14:34:01,6;298,8692;109,1625;351,0088;344,6499
1086;2023-06-12 14:34:02,1;298,5365;109,1187;349,02;340,2655
1087;2023-06-12 14:34:02,6;298,4662;109,1437;345,2251;335,9462
1088;2023-06-12 14:34:03,1;298,3515;109,1938;342,2265;333,1002
1089;2023-06-12 14:34:03,6;297,2516;109,2;338,7245;331,0576
1090;2023-06-12 14:34:04,1;295,5646;109,1313;335,8085;328,9862
1091;2023-06-12 14:34:04,6;294,5621;109,1313;333,4982;327,2775
1092;2023-06-12 14:34:05,1;293,7062;109,1938;329,3289;324,8679
1093;2023-06-12 14:34:05,6;293,4347;109,1437;325,4935;323,1856
1094;2023-06-12 14:34:06,1;292,7783;109,1187;321,8715;320,3181
1095;2023-06-12 14:34:06,6;292,5874;109,1938;318,372;317,5176
1096;2023-06-12 14:34:07,1;293,7058;109,175;315,9946;316,1884
1097;2023-06-12 14:34:07,6;294,4582;109,1187;312,3827;315,1413
1098;2023-06-12 14:34:08,1;295,044;109,1437;309,9523;313,6877
1099;2023-06-12 14:34:08,6;295,5632;109,1875;307,8701;314,2427
1100;2023-06-12 14:34:09,1;295,8805;109,1938;306,0653;314,8088
1101;2023-06-12 14:34:09,6;296,2991;109,125;304,6247;315,2169
1102;2023-06-12 14:34:10,1;296,6588;109,1375;303,6281;313,6124
1103;2023-06-12 14:34:10,6;296,815;109,1938;303,0741;312,9466
1104;2023-06-12 14:34:11,1;297,1606;109,1563;302,1902;312,1316
1105;2023-06-12 14:34:11,6;297,7285;109,1125;300,2382;311,8925
1106;2023-06-12 14:34:12,1;296,1743;109,1875;298,9932;311,4667
1107;2023-06-12 14:34:12,6;295,1065;109,1938;297,8362;311,5242
1108;2023-06-12 14:34:13,1;294,4245;109,1187;296,7257;311,0921
1109;2023-06-12 14:34:13,6;293,8354;109,125;295,9314;311,1767
1110;2023-06-12 14:34:14,1;293,2967;109,2;295,5619;311,5959
1111;2023-06-12 14:34:14,6;292,8583;109,1625;295,3039;310,8157
1112;2023-06-12 14:34:15,1;292,5499;109,1437;295,0067;310,9864
1113;2023-06-12 14:34:15,6;292,0911;109,1187;295,0828;310,6981
1114;2023-06-12 14:34:16,1;290,6754;109,1938;294,4432;310,8617
1115;2023-06-12 14:34:16,6;289,4611;109,1812;294,1908;310,921
1116;2023-06-12 14:34:17,1;288,743;109,1187;293,8333;310,924
1117;2023-06-12 14:34:17,6;287,6447;109,125;293,7481;310,5037
1118;2023-06-12 14:34:18,1;287,1304;109,1938;293,7685;310,2028
1119;2023-06-12 14:34:18,6;286,8509;109,1875;293,81;309,9523
1120;2023-06-12 14:34:19,1;285,9403;109,15;292,5084;309,8407
1121;2023-06-12 14:34:19,6;286,0872;109,1125;291,4924;309,7909
1122;2023-06-12 14:34:20,1;285,74;109,1375;291,1283;309,5681
1123;2023-06-12 14:34:20,6;285,6515;109,1875;290,2588;309,2878
1124;2023-06-12 14:34:21,1;285,4746;109,175;289,7921;309,309
1125;2023-06-12 14:34:21,6;284,9257;109,1875;288,9934;309,3267
1126;2023-06-12 14:34:22,1;285,0587;109,1687;288,5956;309,4675
1127;2023-06-12 14:34:22,6;285,0244;109,1125;288,4483;309,3381
1128;2023-06-12 14:34:23,1;285,0549;109,1313;288,2298;309,4448
1129;2023-06-12 14:34:23,6;284,9352;109,2;287,9408;309,9768
1130;2023-06-12 14:34:24,1;284,9617;109,1875;288,127;310,1922
1131;2023-06-12 14:34:24,6;284,9868;109,1375;287,8159;310,6845
